hwjcknre2020-05-25/16:07:26		log_message
2020-05-28/01:03:35		Table creation Completed!!
2020-05-28/01:03:35		Insertion of Data into Table started!!!!
2020-05-28/01:03:37		Insertion in Table completed!!!
2020-05-28/01:03:37		Deleting Good Data Folder!!!
2020-05-28/01:03:37		Good_Data folder deleted!!!
2020-05-28/01:03:37		Moving bad files to Archive and deleting Bad_Data folder!!!
2020-05-28/01:03:37		Bad files moved to archive!! Bad folder Deleted!!
2020-05-28/01:03:37		Validation Operation completed!!
2020-05-28/01:03:37		Extracting csv file from table
2020-05-28/01:05:47		Start of Validation on files for Training
2020-05-28/01:05:48		Raw Data Validation Complete!!
2020-05-28/01:05:48		Starting Data Transforamtion!!
2020-05-28/01:05:49		DataTransformation Completed!!!
2020-05-28/01:05:49		Creating Training_Database and tables on the basis of given schema!!!
2020-05-28/01:05:49		Table creation Completed!!
2020-05-28/01:05:49		Insertion of Data into Table started!!!!
2020-05-28/01:05:51		Insertion in Table completed!!!
2020-05-28/01:05:51		Deleting Good Data Folder!!!
2020-05-28/01:05:51		Good_Data folder deleted!!!
2020-05-28/01:05:51		Moving bad files to Archive and deleting Bad_Data folder!!!
2020-05-28/01:05:51		Bad files moved to archive!! Bad folder Deleted!!
2020-05-28/01:05:51		Validation Operation completed!!
2020-05-28/01:05:51		Extracting csv file from table
2020-05-28/21:19:54		Start of Validation on files for Training
2020-05-28/21:19:56		Raw Data Validation Complete!!
2020-05-28/21:19:56		Starting Data Transforamtion!!
2020-05-28/21:19:58		DataTransformation Completed!!!
2020-05-28/21:19:58		Creating Training_Database and tables on the basis of given schema!!!
2020-05-28/21:19:58		Table creation Completed!!
2020-05-28/21:19:58		Insertion of Data into Table started!!!!
2020-05-28/21:20:02		Insertion in Table completed!!!
2020-05-28/21:20:02		Deleting Good Data Folder!!!
2020-05-28/21:20:02		Good_Data folder deleted!!!
2020-05-28/21:20:02		Moving bad files to Archive and deleting Bad_Data folder!!!
2020-05-28/21:20:02		Bad files moved to archive!! Bad folder Deleted!!
2020-05-28/21:20:02		Validation Operation completed!!
2020-05-28/21:20:02		Extracting csv file from table
2020-06-02/00:30:37		Start of Validation on files for Training
2020-06-02/00:30:39		Raw Data Validation Complete!!
2020-06-02/00:30:39		Starting Data Transforamtion!!
2020-06-02/00:30:40		DataTransformation Completed!!!
2020-06-02/00:30:40		Creating Training_Database and tables on the basis of given schema!!!
2020-06-02/00:30:40		Table creation Completed!!
2020-06-02/00:30:40		Insertion of Data into Table started!!!!
2020-06-02/00:30:43		Insertion in Table completed!!!
2020-06-02/00:30:43		Deleting Good Data Folder!!!
2020-06-02/00:30:43		Good_Data folder deleted!!!
2020-06-02/00:30:43		Moving bad files to Archive and deleting Bad_Data folder!!!
2020-06-02/00:30:43		Bad files moved to archive!! Bad folder Deleted!!
2020-06-02/00:30:43		Validation Operation completed!!
2020-06-02/00:30:43		Extracting csv file from table
2020-06-02/00:36:54		Start of Validation on files for Training
2020-06-02/00:36:56		Raw Data Validation Complete!!
2020-06-02/00:36:56		Starting Data Transforamtion!!
2020-06-02/00:36:57		DataTransformation Completed!!!
2020-06-02/00:36:57		Creating Training_Database and tables on the basis of given schema!!!
2020-06-02/00:36:57		Table creation Completed!!
2020-06-02/00:36:57		Insertion of Data into Table started!!!!
2020-06-02/00:37:00		Insertion in Table completed!!!
2020-06-02/00:37:00		Deleting Good Data Folder!!!
2020-06-02/00:37:00		Good_Data folder deleted!!!
2020-06-02/00:37:00		Moving bad files to Archive and deleting Bad_Data folder!!!
2020-06-02/00:37:20		Bad files moved to archive!! Bad folder Deleted!!
2020-06-02/00:37:20		Validation Operation completed!!
2020-06-02/00:37:21		Extracting csv file from table
2020-06-02/00:45:25		Start of Validation on files for Training
2020-06-02/00:45:27		Raw Data Validation Complete!!
2020-06-02/00:45:27		Starting Data Transforamtion!!
2020-06-02/00:45:28		DataTransformation Completed!!!
2020-06-02/00:45:28		Creating Training_Database and tables on the basis of given schema!!!
2020-06-02/00:45:28		Table creation Completed!!
2020-06-02/00:45:28		Insertion of Data into Table started!!!!
2020-06-02/00:45:31		Insertion in Table completed!!!
2020-06-02/00:45:31		Deleting Good Data Folder!!!
2020-06-02/00:45:31		Good_Data folder deleted!!!
2020-06-02/00:45:31		Moving bad files to Archive and deleting Bad_Data folder!!!
2020-06-02/00:45:31		Bad files moved to archive!! Bad folder Deleted!!
2020-06-02/00:45:31		Validation Operation completed!!
2020-06-02/00:45:31		Extracting csv file from table
2020-06-02/00:53:28		Start of Validation on files for Training
2020-06-02/00:53:30		Raw Data Validation Complete!!
2020-06-02/00:53:30		Starting Data Transforamtion!!
2020-06-02/00:53:33		DataTransformation Completed!!!
2020-06-02/00:53:33		Creating Training_Database and tables on the basis of given schema!!!
2020-06-02/00:53:33		Table creation Completed!!
2020-06-02/00:53:33		Insertion of Data into Table started!!!!
2020-06-02/00:53:36		Insertion in Table completed!!!
2020-06-02/00:53:36		Deleting Good Data Folder!!!
2020-06-02/00:53:36		Good_Data folder deleted!!!
2020-06-02/00:53:36		Moving bad files to Archive and deleting Bad_Data folder!!!
2020-06-02/00:53:36		Bad files moved to archive!! Bad folder Deleted!!
2020-06-02/00:53:36		Validation Operation completed!!
2020-06-02/00:53:36		Extracting csv file from table
2020-06-02/00:56:55		Start of Validation on files for Training
2020-06-02/00:56:58		Raw Data Validation Complete!!
2020-06-02/00:56:58		Starting Data Transforamtion!!
2020-06-02/00:57:00		DataTransformation Completed!!!
2020-06-02/00:57:00		Creating Training_Database and tables on the basis of given schema!!!
2020-06-02/00:57:00		Table creation Completed!!
2020-06-02/00:57:00		Insertion of Data into Table started!!!!
2020-06-02/00:57:03		Insertion in Table completed!!!
2020-06-02/00:57:03		Deleting Good Data Folder!!!
2020-06-02/00:57:03		Good_Data folder deleted!!!
2020-06-02/00:57:03		Moving bad files to Archive and deleting Bad_Data folder!!!
2020-06-02/00:57:03		Bad files moved to archive!! Bad folder Deleted!!
2020-06-02/00:57:03		Validation Operation completed!!
2020-06-02/00:57:03		Extracting csv file from table
2020-06-02/01:11:34		Start of Validation on files for Training
2020-06-02/01:11:36		Raw Data Validation Complete!!
2020-06-02/01:11:36		Starting Data Transforamtion!!
2020-06-02/01:11:38		DataTransformation Completed!!!
2020-06-02/01:11:38		Creating Training_Database and tables on the basis of given schema!!!
2020-06-02/01:11:38		Table creation Completed!!
2020-06-02/01:11:38		Insertion of Data into Table started!!!!
2020-06-02/01:11:40		Insertion in Table completed!!!
2020-06-02/01:11:40		Deleting Good Data Folder!!!
